epoch,train_loss,val_loss,phase
1,113194.94891237745,70881.58060151144,frozen_backbone
2,91290.97457107843,49443.556525735294,frozen_backbone
3,64713.62432160364,32396.79861111111,frozen_backbone
4,51165.50693714986,29348.47513276144,frozen_backbone
5,48170.79516806723,28692.68262357026,frozen_backbone
1,46487.92467612045,27048.484132455065,fine_tuning
2,42740.617466517855,25368.6948657067,fine_tuning
3,40376.931788340335,24321.00293607026,fine_tuning
4,38872.33049391631,22995.391403696896,fine_tuning
5,35723.626225490196,22117.90317350899,fine_tuning
